id,group,description,columns,domain,spice_level,visibility,flags,aliases
1001,Bodies,Skinny,Partner,irl,1,default,appearance,
1002,Bodies,Chubby,Partner,irl,1,default,appearance,
1003,Bodies,Fit,Partner,irl,1,default,appearance,
1004,Bodies,Muscular,Partner,irl,1,default,appearance,
1005,Bodies,Small Breasts,Partner,irl,1,default,appearance,
1006,Bodies,Large Breasts,Partner,irl,1,default,appearance,
1007,Bodies,Small Cocks,Partner,irl,1,default,appearance,
1008,Bodies,Large Cocks,Partner,irl,1,default,appearance,
1009,Bodies,Hairy Body,Partner,irl,1,default,appearance,
1033,Bodies,Some Body Hair,Partner,irl,1,default,appearance,
1010,Bodies,Shaved Body,Partner,irl,1,default,appearance,
1011,Bodies,Hairy Crotch,Partner,irl,1,default,appearance,
1012,Bodies,Trimmed Crotch,Partner,irl,1,default,appearance,
1013,Bodies,Shaved Crotch,Partner,irl,1,default,appearance,
1014,Bodies,Pregnant,Partner,irl,2,default,appearance|pregnancy,
1015,Bodies,Tall,Partner,irl,1,default,appearance,
1016,Bodies,Short,Partner,irl,1,default,appearance,
1017,Bodies,Tanned,Partner,irl,1,default,appearance,
1018,Bodies,Pale,Partner,irl,1,default,appearance,
1019,Bodies,Freckles,Partner,irl,1,default,appearance,
1020,Bodies,Some Tattoos,Partner,irl,1,default,appearance|body_modification,
1021,Bodies,Lots of Tattoos,Partner,irl,1,default,appearance|body_modification,
1022,Bodies,Nonsexual piercings,Partner,irl,1,default,appearance|body_modification,
1023,Bodies,Nipple piercings,Partner,irl,2,default,appearance|body_modification,
1024,Bodies,Genital piercings,Partner,irl,2,default,appearance|body_modification,
1025,Bodies,Bald Hair,Partner,irl,1,default,appearance,
1026,Bodies,Short Hair,Partner,irl,1,default,appearance,
1027,Bodies,Long Hair,Partner,irl,1,default,appearance,
1028,Bodies,Very long Hair,Partner,irl,1,default,appearance,
1029,Bodies,Glasses,Partner,irl,1,default,appearance,
1030,Bodies,Plus-sized,Partner,irl,1,default,appearance,
1031,Bodies,Redhead,Partner,irl,1,default,appearance,
1032,Bodies,Dyed Hair (unnatural colors),Partner,irl,1,default,appearance,
1034,Bodies,Some Beard,Partner,irl,1,default,appearance,
1035,Bodies,Large Beard,Partner,irl,1,default,appearance,
23001,Body/Style Archetypes,Twinks,Partner,irl,1,default,appearance|archetype,
23002,Body/Style Archetypes,Otters,Partner,irl,1,default,appearance|archetype,
23003,Body/Style Archetypes,Bears,Partner,irl,1,default,appearance|archetype,
23004,Body/Style Archetypes,Hunk,Partner,irl,1,default,appearance|archetype,
23005,Body/Style Archetypes,Femboy,Partner,irl,2,default,appearance|archetype|gender_expression,
23006,Body/Style Archetypes,E-Boy,Partner,irl,2,default,appearance|archetype|gender_expression,
23007,Body/Style Archetypes,Sissy,Partner,irl,3,opt_in,appearance|archetype|gender_expression|degradation,
23008,Body/Style Archetypes,Tomboy,Partner,irl,2,default,appearance|archetype|gender_expression,
23009,Body/Style Archetypes,E-Girl,Partner,irl,2,default,appearance|archetype|gender_expression,
2001,Clothing,Clothed Sex,Self; Partner,irl,1,default,clothing,
2002,Clothing,CFNM,Self; Partner,irl,1,default,clothing,
2003,Clothing,CMNF,Self; Partner,irl,1,default,clothing,
2004,Clothing,Lingerie,Self; Partner,irl,1,default,clothing,
2005,Clothing,Kneesocks,Self; Partner,irl,1,default,clothing,
2006,Clothing,Stockings and/or Garterbelt,Self; Partner,irl,1,default,clothing,
2007,Clothing,High Heels,Self; Partner,irl,1,default,clothing,
2008,Clothing,Knee-high boots,Self; Partner,irl,1,default,clothing,
2009,Clothing,Corset,Self; Partner,irl,2,default,clothing,
2010,Clothing,Gloves,Self; Partner,irl,1,default,clothing,
2011,Clothing,Harness,Self; Partner,irl,2,default,clothing,
2012,Clothing,Leather,Self; Partner,irl,2,default,clothing,
2013,Clothing,Latex,Self; Partner,irl,2,default,clothing,
2014,Clothing,Spandex,Self; Partner,irl,1,default,clothing,
2015,Clothing,Gas Masks,Self; Partner,irl,4,opt_in,clothing|breath|safety,
2016,Clothing,Uniform/​Costume,Self; Partner,irl,2,default,clothing|costume|roleplay,
2017,Clothing,Cosplay,Self; Partner,irl,2,default,clothing|costume|roleplay,
2018,Clothing,Crossdressing,Self; Partner,irl,2,default,clothing|gender_expression,
2019,Clothing,Soft Gloves,Self; Partner,irl,1,default,clothing,
2020,Clothing,Choker,Self; Partner,irl,2,default,clothing,
2021,Clothing,Masks,Self; Partner,irl,2,default,clothing,
2022,Clothing,Fishnets,Self; Partner,irl,1,default,clothing,
2023,Clothing,Formal/Business Clothing,Self; Partner,irl,1,default,clothing,
3001,Groupings,You and 1 male,Self,irl,1,default,partner_count,
3002,Groupings,You and 1 female,Self,irl,1,default,partner_count,
3003,Groupings,You and MtF trans,Self,irl,1,default,partner_count,
3004,Groupings,You and FtM trans,Self,irl,1,default,partner_count,
3005,Groupings,"You and 1 male, 1 female",Self,irl,2,default,partner_count|group_sex,
3006,Groupings,You and 2 females,Self,irl,2,default,partner_count|group_sex,
3007,Groupings,You and 2 males,Self,irl,2,default,partner_count|group_sex,
3008,Groupings,Orgy,Self,irl,3,opt_in,partner_count|group_sex,
4001,Positions,Missionary,Giving; Receiving,irl,1,default,position,
4002,Positions,Doggystyle,Giving; Receiving,irl,1,default,position,
4003,Positions,Sixty-Nine,Giving; Receiving,irl,1,default,position,
4004,Positions,Cowgirl,Giving; Receiving,irl,1,default,position,
4005,Positions,Reverse-Cowgirl,Giving; Receiving,irl,1,default,position,
4006,Positions,Piledriver,Giving; Receiving,irl,2,default,position|physical_intensity,
4007,Positions,Mating Press,Giving; Receiving,irl,2,default,position|physical_intensity,
4008,Positions,Spit Roasting,Giving; Receiving,irl,3,opt_in,position|group_sex,
4009,Positions,Prone Bone,Giving; Receiving,irl,1,default,position,
4010,Positions,Spooning,Giving; Receiving,irl,1,default,position,
4011,Positions,Sex Swing,Giving; Receiving,irl,2,default,position|physical_intensity,
4012,Positions,Lotus,Giving; Receiving,irl,1,default,position,
